node,lat,lon,name,tags
1396169705,35.6605,139.584137,"BASEBAKERY, BASEBAKERY, Oggi（オッジ）, Oggi（オッジ）, ダニーマミー（『DanayMommy』byDankunmama【旧店名】ダン君ママ）, ダニーマミー（『DanayMommy』byDankunmama【旧店名】ダン君ママ）","['パン', '飲食店', 'パン', '飲食店', 'イタリアン', 'バル', 'ワインバー', '飲食店', 'イタリアン', 'バル', 'ワインバー', '飲食店', 'パン', '洋菓子', '飲食店', 'パン', '洋菓子', '飲食店']"
1396169710,35.661068,139.58345,"ねぐろ, ねぐろ, 蒔, 蒔","['焼き鳥', '居酒屋', '飲食店', '焼き鳥', '居酒屋', '飲食店', '日本料理', '飲食店', '日本料理', '飲食店']"
1396169725,35.660942,139.585617,"フレッシュネスバーガー仙川店, フレッシュネスバーガー仙川店, 星乃珈琲店仙川店, 星乃珈琲店仙川店, 猿田彦珈琲アトリエ仙川, 猿田彦珈琲アトリエ仙川, 餃子創作料理居酒屋十色, 餃子創作料理居酒屋十色","['ハンバーガー', '喫茶店', 'カフェ', '飲食店', 'ハンバーガー', '喫茶店', 'カフェ', '飲食店', '喫茶店', 'サンドイッチ', 'カフェ', '飲食店', '喫茶店', 'サンドイッチ', 'カフェ', '飲食店', 'カフェ', '飲食店', 'カフェ', '飲食店', '居酒屋', '創作料理', '餃子', '飲食店', '居酒屋', '創作料理', '餃子', '飲食店']"
1396169758,35.662037,139.58577,"きくや, きくや, こしじ, こしじ, 居酒屋ネマル, 居酒屋ネマル","['焼き鳥', '居酒屋', 'もつ焼き', '飲食店', '焼き鳥', '居酒屋', 'もつ焼き', '飲食店', '居酒屋', '日本料理', '海鮮', '飲食店', '居酒屋', '日本料理', '海鮮', '飲食店', '居酒屋', '飲食店', '居酒屋', '飲食店']"
1396169776,35.662685,139.585938,"ロイヤルホスト仙川駅前店（RoyalHost）, ロイヤルホスト仙川駅前店（RoyalHost）","['ファミレス', '飲食店', 'ファミレス', '飲食店']"
1404154443,35.660881,139.585602,"バナナスタンド仙川店（BANANASTAND）, バナナスタンド仙川店（BANANASTAND）, 新海南記, 新海南記, 籠屋仙川店, 籠屋仙川店","['ジューススタンド', '飲食店', 'ジューススタンド', '飲食店', '中華料理', '飲食店', '中華料理', '飲食店', 'その他', '飲食店', 'その他', '飲食店']"
1404154503,35.664421,139.585007,昌翁寺,"['観光', '遊ぶ', '寺', '神社', '教会']"
1441130000,35.65992,139.531006,"クリスマス亭（CHRISTMAS亭クリスマステイ）, クリスマス亭（CHRISTMAS亭クリスマステイ）","['洋食', 'ハンバーグ', '飲食店', '洋食', 'ハンバーグ', '飲食店']"
1480433338,35.67347,139.559464,"寿司政, 寿司政","['寿司', '飲食店', '寿司', '飲食店']"
1489609349,35.650555,139.540833,調布七福神めぐり,"['観光', '遊ぶ', '祭り', 'イベント', '観光', '遊ぶ', '寺', '神社', '教会']"
1494166059,35.65159,139.54591,セブンイレブン調布駅東口店,"['セブンイレブン', 'コンビニ', 'ATM']"
1607727167,35.642658,139.537552,"竹乃家, 竹乃家","['日本料理', 'うなぎ', '飲食店', '日本料理', 'うなぎ', '飲食店']"
