name,lat,lon,hp,tags
中国菜館福寿（フクジュ）,35.660683,139.584641,-,"['中華料理', '飲食店']"
あずきや安堂（あんどう）,35.653538,139.544357,http://azukiya-ando.jp/,"['たい焼き・大判焼き', 'かき氷', '飲食店']"
山形牛焼肉牛兵衛草庵調布パルコ店,35.652805,139.543518,-,"['焼肉', 'ホルモン', 'ステーキ', '飲食店']"
渝園（ゆえん）,35.652164,139.544556,http://www.kikuya.com/rest/yuen/yuen.html,"['中華料理', 'ラーメン', '居酒屋', '飲食店']"
ヴァニエール（VANNIER）,35.660221,139.585709,-,"['カフェ', 'ケーキ', 'かき氷', '飲食店']"
てぃーだかんかん飛田給店,35.660702,139.522415,https://kankan-tobitakyu.owst.jp/,"['沖縄料理', '居酒屋', '焼き鳥', '飲食店']"
カフェ大好き,35.644299,139.537292,http://ameblo.jp/chofucafedaisuki/,"['カフェ', 'カレー', 'ジェラート・アイスクリーム', '飲食店']"
オステリアアルコバレーノ,35.649445,139.550369,-,"['イタリアン', 'ピザ', 'パスタ', '飲食店']"
焼肉平城苑トリエ京王調布店（ヤキニクヘイジョウエン）,35.651062,139.545425,https://heijoen.co.jp/,"['焼肉', 'ホルモン', '韓国料理', '飲食店']"
いきなりステーキ調布店,35.653275,139.542114,http://ikinaristeak.com/shopinfo/chofu/,"['ステーキ', 'ハンバーグ', '飲食店']"
スエヒロ館調布国領店,35.646084,139.553894,http://www.suehiro-net.com/index.html,"['ハンバーグ', 'ステーキ', '飲食店']"
エムスキッチン（M'sKitchen）,35.651218,139.544357,-,"['インドカレー', 'インド料理', 'アジア・エスニック', '飲食店']"
中華そばしば田,35.656361,139.590027,-,"['ラーメン', '飲食店']"
ラ・メゾンアンソレイユターブル調布パルコ店（LaMaisonensoleilletable）,35.652805,139.543518,http://www.la-maison.jp/,"['カフェ', 'ケーキ', 'ヨーロッパ料理', '飲食店']"
台北飯店（タイペイハンテン）,35.653275,139.542114,-,"['台湾料理', '飲食店']"
カフェルプティボヌール（CafeLePetitBonheur）,35.657139,139.538742,-,"['カフェ', '飲食店']"
神代グリーンサロン,35.670731,139.549225,http://www.tokyo-park.or.jp/park/format/restaurant045.html#68,"['カフェ', '飲食店']"
ぽくぽく,35.652508,139.544739,http://pokupoku.jp/,"['居酒屋', '串揚げ', '海鮮', '飲食店']"
OH！膳屋（おぜんや）,35.660683,139.584641,http://www.ozen-ya.com,"['居酒屋', '創作料理', '飲食店']"
ジョナサン調布駅前店,35.650494,139.544128,https://store-info.skylark.co.jp/jonathan/map/020301,"['ファミレス', '飲食店']"
中国ラーメン揚州商人キテラタウン調布店（チュウゴクラーメンヨウシュウショウニン）,35.657658,139.568146,-,"['ラーメン', '中華料理', '飲食店']"
そば処より道（【旧店名】一休庵）,35.662521,139.547806,-,"['そば', 'うどん', '飲食店']"
ぎょうざの満洲つつじヶ丘北口店,35.657814,139.574112,http://www.mansyu.co.jp/,"['中華料理', '餃子', 'ラーメン', '飲食店']"
武蔵家国領店,35.648975,139.558289,-,"['ラーメン', '飲食店']"
曼珠苑,35.667332,139.547592,http://angel.ap.teacup.com/manjuen/19.html,"['喫茶店', 'カフェ', '飲食店']"
幡乃屋,35.660683,139.584641,-,"['そば', 'うどん', '飲食店']"
ウラニワ仙川店,35.659866,139.585892,http://uraniwa-group.com/,"['居酒屋', '郷土料理', '創作料理', '飲食店']"
福（ふく）,35.666832,139.553741,-,"['お好み焼き', '鉄板焼き', '飲食店']"
築地銀だこイトーヨーカドー国領店,35.64819,139.565018,-,"['たこ焼き', '飲食店']"
い志井2-kai,35.652378,139.54567,-,"['居酒屋', '焼き鳥', 'もつ焼き', '飲食店']"
バーミヤン飛田給駅北口店,35.66156,139.523911,-,"['ファミレス', '中華料理', 'ラーメン', '飲食店']"
菓子の青木屋西調布店（青木屋）,35.654644,139.52951,http://www.aokiya.net/index.html,"['和菓子', '飲食店']"
春夏秋冬国領店（チュナチュドン）,35.653137,139.560745,-,"['焼肉', '韓国料理', '居酒屋', '飲食店']"
スワガット仙川店,35.661739,139.584991,-,"['インド料理', '飲食店']"
ステーキガスト深大寺店,35.668961,139.544205,http://www.skylark.co.jp/steak_gusto/,"['ファミレス', 'ステーキ', 'ハンバーグ', '飲食店']"
マクドナルド２０号調布店（McDonald's）,35.65583,139.543167,https://map.mcdonalds.co.jp/map/13148,"['ハンバーガー', 'カフェ', '飲食店']"
調布清水,35.653538,139.544357,http://www.chofu-shimizu.jp/,"['そば', '日本料理', '日本酒バー', '飲食店']"
HERO'S調布店,35.652348,139.545944,http://heros.website/,"['ステーキ', 'ハンバーグ', '洋食', '飲食店']"
イルフロッグス（ILLFROGS）,35.651882,139.547256,-,"['ハンバーガー', 'カフェ', 'ダイニングバー', '飲食店']"
日高屋つつじケ丘店（ヒダカヤ）,35.658138,139.574066,http://hidakaya.hiday.co.jp/,"['ラーメン', '中華料理', '食堂', '飲食店']"
フジヤマテキサス,35.651993,139.546371,-,"['立ち飲み', '串揚げ', '飲食店']"
ジョナサン仙川店,35.658268,139.588058,http://www.skylark.co.jp/jonathan/,"['ファミレス', '飲食店']"
すき家調布入間店,35.650101,139.581909,-,"['牛丼', 'カレー', '食堂', '飲食店']"
とんかつ牧,35.657436,139.573227,-,"['とんかつ', '飲食店']"
Oggi（オッジ）,35.6605,139.584137,http://yusukeitalia.wix.com/yusukecom,"['イタリアン', 'バル', 'ワインバー', '飲食店']"
中華麺王,35.643463,139.533813,http://www.keiokaku.com/,"['ラーメン', '中華料理', '飲食店']"
どびん,35.655182,139.529205,-,"['居酒屋', '飲食店']"
しゃぶ菜トリエ京王調布,35.651062,139.545425,https://www.create-restaurants.co.jp/shop/index.php?controller=FrontCrShop&action=shop_show&id=2026,"['しゃぶしゃぶ', 'ビュッフェ', '寿司', '飲食店']"
松葉茶屋（まつばちゃや）,35.668091,139.549026,https://matsubachaya.official.ec/,"['そば', '飲食店']"
