,node,lat,lon,name,tags
657,5118739874,35.654219,139.5444266,"['ItalianKitchenVANSAN調布店', '牛角調布店', '焼肉たいぜん', 'やきとり家すみれ調布店']","['バル', 'イタリアン', 'ビュッフェ', '飲食店', '焼肉', '居酒屋', '焼き鳥', 'ピザ']"
658,287792182,35.6497301,139.5596466,"['CRAZYPIZZA', 'ドンブラボー（DonBravo）', 'イタリアンダイニングバニアンツリー（ItalianDiningBanyanTree）']","['イタリアン', 'バー', '飲食店', 'ダイニングバー', 'パスタ', 'ピザ']"
659,6426710608,35.6518975,139.5424284,"['肉が旨いカフェNICKSTOCKトリエ京王調布店（ニックストック）', 'ピッツェリアナポリターナカンテラ調布店（pizzerianapoletanaCANTERA）', 'PEPspanishbar調布店（ペップスパニッシュバル）']","['イタリアン', 'カフェ', 'スペイン料理', 'ハンバーガー', 'ヨーロッパ料理', '飲食店', 'ダイニングバー', '居酒屋', 'ピザ']"
660,568043961,35.6673225,139.5622302,['マイクロカフェ調布深大寺店（micro-cafe）'],"['カフェ', '飲食店', '居酒屋', '日本料理']"
661,632220947,35.6601496,139.583285,"['東風庵（コチアン）', 'RestaurantCOZY（レストランコージー）']","['イタリアン', '飲食店', '洋食', '日本料理', 'そば']"
662,7274607087,35.6590999,139.5857546,"['ニトリダイニングみんなのグリルホームズ仙川店', 'タピオカスイーツチュチュホームズ仙川店（tapiocasweetstutu）', 'いざかやメネフネ', 'モイスェン（Mäuschen）', 'はなまるうどんホームズ仙川店', '魚酒場汐◯', 'カリーバー・ミルチ（CurryBarMirch）', 'ラ・ヴィエイユ・フランス仙川店（LAVIEILLEFRANCE）']","['カレー', 'ケーキ', 'うどん', 'インドカレー', 'ダイニングバー', 'ステーキ', '日本酒バー', 'インド料理', '居酒屋', 'タピオカ', 'スイーツ', '飲食店', 'ジェラート・アイスクリーム', '焼酎バー', 'カレーうどん']"
663,2503491185,35.6531718,139.5460635,"['相撲めし皇風ノ店（キミカゼノミセ）', '魚菜さくらざわ', '出雲そばやくも（やくも）', 'ウノセッテ調布店（17-unosette-）', '天神通り', '調布牡蠣basara（【旧店名】和酒厨房ばさら）']","['史跡', '海鮮', '市場', 'パスタ', 'イタリアン', '名所', '観光', '商店街', 'かき', '創作料理', '飲食店', 'ちゃんこ鍋', '居酒屋', 'ショッピング', '日本料理', '焼き鳥', '遊ぶ', 'そば']"
664,3146710836,35.6552378,139.5478369,"['魚と酒菜猿側（サカナトサカナエンガワ）', 'トラットリアコンチェルボーノ（TrattoriaConcerbuono）', 'AGNI調布店（アグニ）']","['海鮮', 'イタリアン', 'インドカレー', 'インド料理', '飲食店', '居酒屋', '日本料理', 'パスタ', 'ピザ']"
665,287448108,35.6471136,139.5471506,"['焼肉きんぐ調布店', 'イルキャンティ調布店']","['イタリアン', '飲食店', '焼肉', '居酒屋', 'ピザ']"
666,5004072731,35.6563265,139.5296736,"['増田屋西調布店（ますだや）', 'あじゅーる']","['うどん', '丼', '飲食店', '洋食', 'ステーキ', 'パスタ', 'そば']"
667,303309510,35.6485916,139.5589236,"['餃子製作直売所餃子王King', 'ネパール・インドレストラン＆バークオリティー国領店（QUALITY）']","['インドカレー', 'ネパール料理', '飲食店', 'インド料理', '餃子']"
668,1607727167,35.6426557,139.5379673,['竹乃家'],"['飲食店', 'うなぎ', '日本料理']"
669,295063512,35.6526763,139.564372,['鮒宿'],"['天ぷら', '麺類', '飲食店', '日本料理']"
670,11192844407,35.6485559,139.5429824,['鴨と蟹中華そば猿'],"['飲食店', 'ラーメン']"
671,1781366994,35.6628171,139.5842887,"['カフェペルシェ（CafePerche）', '番兵（ばんべい）', '豚風仙川店（トンプウ）', 'モリバコーヒー仙川店（MORIVACOFFEE）']","['串揚げ', 'オーガニック', 'バー', 'ホルモン', 'カフェ', '喫茶店', '飲食店', 'パン', '焼肉', '居酒屋', '立ち飲み', 'おでん']"
672,1685160191,35.6376063,139.5544065,"['鶏白湯麺樹', '薪窯ピッツァ調布']","['飲食店', 'ラーメン', 'ピザ', 'カフェ']"
673,7274607114,35.6615257,139.5855035,"['センガワポワール（sengawapoire）', '豊後高田どり酒場仙川駅前店', 'しゃぶしゃぶ温野菜仙川店', 'アンデルセン仙川店（ANDERSEN）']","['ハンバーグ', 'しゃぶしゃぶ', '焼き鳥', 'カフェ', 'ビュッフェ', '創作料理', '飲食店', 'パン', '居酒屋', 'パスタ']"
674,7056237242,35.6670902,139.548653,"['深大寺そば青木屋深大寺店', '元祖嶋田家', '梅月（バイゲツ）', '深大寺そば「きよし」']","['飲食店', 'たい焼き・大判焼き', '和菓子', 'うどん', 'そば']"
675,9134437321,35.6513608,139.5439974,"['四十八漁場調布駅前店', ""エムスキッチン（M'sKitchen）"", '目利きの銀次調布南口駅前店', '全席個室楽蔵調布南口店（RAKUZO）', 'カレーショップC&C調布南口店', '山内農場調布南口駅前店']","['鳥料理', 'カレー', '海鮮', 'アジア・エスニック', 'インドカレー', '創作料理', '飲食店', '居酒屋', 'インド料理', '焼き鳥', '日本酒バー']"
676,8176349737,35.6596457,139.5857003,"['CoCo壱番屋京王仙川駅前通店', 'ウラニワ仙川店', '酒処ぶぶや（【旧店名】ばさら）', 'レキュム・デ・ジュール（cafe&barLecumedesJours）']","['カレー', '海鮮', '郷土料理', 'バー', 'カフェ', '喫茶店', '創作料理', '飲食店', '居酒屋']"
677,1800865902,35.6678369,139.5452302,['玉喜'],"['飲食店', 'うどん', 'そば']"
678,304161246,35.6576727,139.5755765,['エビスつつじヶ丘店'],"['もつ鍋', '居酒屋', '飲食店', '日本酒バー']"
679,440146586,35.6528231,139.5700094,['青木屋調布柴崎店'],"['飲食店', '和菓子', 'ケーキ']"
